ICD-10,Lab_Item,Original_ICD_Range
A493,Culture/NAAT according to suspected site and organism,A490–A499
A498,Culture/NAAT according to suspected site and organism,A490–A499
A499,Culture/NAAT according to suspected site and organism,A490–A499
A500,RPR/VDRL,A500–A509
A500,TPHA/TPPA/FTA-ABS,A500–A509
A500,Treponemal IgM if congenital syphilis suspected,A500–A509
A500,CSF VDRL if neurosyphilis suspected,A500–A509
A501,RPR/VDRL,A500–A509
A501,TPHA/TPPA/FTA-ABS,A500–A509
A501,Treponemal IgM if congenital syphilis suspected,A500–A509
A501,CSF VDRL if neurosyphilis suspected,A500–A509
A502,RPR/VDRL,A500–A509
A502,TPHA/TPPA/FTA-ABS,A500–A509
A502,Treponemal IgM if congenital syphilis suspected,A500–A509
A502,CSF VDRL if neurosyphilis suspected,A500–A509
A503,RPR/VDRL,A500–A509
A503,TPHA/TPPA/FTA-ABS,A500–A509
A503,Treponemal IgM if congenital syphilis suspected,A500–A509
A503,CSF VDRL if neurosyphilis suspected,A500–A509
A504,RPR/VDRL,A500–A509
A504,TPHA/TPPA/FTA-ABS,A500–A509
A504,Treponemal IgM if congenital syphilis suspected,A500–A509
A504,CSF VDRL if neurosyphilis suspected,A500–A509
A505,RPR/VDRL,A500–A509
A505,TPHA/TPPA/FTA-ABS,A500–A509
A505,Treponemal IgM if congenital syphilis suspected,A500–A509
A505,CSF VDRL if neurosyphilis suspected,A500–A509
A506,RPR/VDRL,A500–A509
A506,TPHA/TPPA/FTA-ABS,A500–A509
A506,Treponemal IgM if congenital syphilis suspected,A500–A509
A506,CSF VDRL if neurosyphilis suspected,A500–A509
A507,RPR/VDRL,A500–A509
A507,TPHA/TPPA/FTA-ABS,A500–A509
A507,Treponemal IgM if congenital syphilis suspected,A500–A509
A507,CSF VDRL if neurosyphilis suspected,A500–A509
A509,RPR/VDRL,A500–A509
A509,TPHA/TPPA/FTA-ABS,A500–A509
A509,Treponemal IgM if congenital syphilis suspected,A500–A509
A509,CSF VDRL if neurosyphilis suspected,A500–A509
A510,RPR/VDRL,A510–A539
A510,TPHA/TPPA/FTA-ABS,A510–A539
A510,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A511,RPR/VDRL,A510–A539
A511,TPHA/TPPA/FTA-ABS,A510–A539
A511,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A512,RPR/VDRL,A510–A539
A512,TPHA/TPPA/FTA-ABS,A510–A539
A512,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A513,RPR/VDRL,A510–A539
A513,TPHA/TPPA/FTA-ABS,A510–A539
A513,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A514,RPR/VDRL,A510–A539
A514,TPHA/TPPA/FTA-ABS,A510–A539
A514,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A515,RPR/VDRL,A510–A539
A515,TPHA/TPPA/FTA-ABS,A510–A539
A515,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A519,RPR/VDRL,A510–A539
A519,TPHA/TPPA/FTA-ABS,A510–A539
A519,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A520,RPR/VDRL,A510–A539
A520,TPHA/TPPA/FTA-ABS,A510–A539
A520,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A521,RPR/VDRL,A510–A539
A521,TPHA/TPPA/FTA-ABS,A510–A539
A521,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A522,RPR/VDRL,A510–A539
A522,TPHA/TPPA/FTA-ABS,A510–A539
A522,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A523,RPR/VDRL,A510–A539
A523,TPHA/TPPA/FTA-ABS,A510–A539
A523,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A527,RPR/VDRL,A510–A539
A527,TPHA/TPPA/FTA-ABS,A510–A539
A527,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A528,RPR/VDRL,A510–A539
A528,TPHA/TPPA/FTA-ABS,A510–A539
A528,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A529,RPR/VDRL,A510–A539
A529,TPHA/TPPA/FTA-ABS,A510–A539
A529,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A530,RPR/VDRL,A510–A539
A530,TPHA/TPPA/FTA-ABS,A510–A539
A530,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A539,RPR/VDRL,A510–A539
A539,TPHA/TPPA/FTA-ABS,A510–A539
A539,Dark-field microscopy / Treponema pallidum DNA detection from lesion if available,A510–A539
A520,RPR/VDRL,A520
A520,TPHA/TPPA/FTA-ABS,A520
A521,CSF VDRL,A521–A523
A521,CSF cell count,A521–A523
A521,CSF protein,A521–A523
A521,RPR/VDRL,A521–A523
A521,TPHA/TPPA/FTA-ABS,A521–A523
A522,CSF VDRL,A521–A523
A522,CSF cell count,A521–A523
A522,CSF protein,A521–A523
A522,RPR/VDRL,A521–A523
A522,TPHA/TPPA/FTA-ABS,A521–A523
A523,CSF VDRL,A521–A523
A523,CSF cell count,A521–A523
A523,CSF protein,A521–A523
A523,RPR/VDRL,A521–A523
A523,TPHA/TPPA/FTA-ABS,A521–A523
A540,Neisseria gonorrhoeae DNA detection by NAAT,A540–A549
A540,Gonococcal culture with antimicrobial susceptibility testing,A540–A549
A541,Neisseria gonorrhoeae DNA detection by NAAT,A540–A549
A541,Gonococcal culture with antimicrobial susceptibility testing,A540–A549
A542,Neisseria gonorrhoeae DNA detection by NAAT,A540–A549
A542,Gonococcal culture with antimicrobial susceptibility testing,A540–A549
A543,Neisseria gonorrhoeae DNA detection by NAAT,A540–A549
A543,Gonococcal culture with antimicrobial susceptibility testing,A540–A549
A544,Neisseria gonorrhoeae DNA detection by NAAT,A540–A549
A544,Gonococcal culture with antimicrobial susceptibility testing,A540–A549
A545,Neisseria gonorrhoeae DNA detection by NAAT,A540–A549
A545,Gonococcal culture with antimicrobial susceptibility testing,A540–A549
A546,Neisseria gonorrhoeae DNA detection by NAAT,A540–A549
A546,Gonococcal culture with antimicrobial susceptibility testing,A540–A549
A548,Neisseria gonorrhoeae DNA detection by NAAT,A540–A549
A548,Gonococcal culture with antimicrobial susceptibility testing,A540–A549
A549,Neisseria gonorrhoeae DNA detection by NAAT,A540–A549
A549,Gonococcal culture with antimicrobial susceptibility testing,A540–A549
A55,Chlamydia trachomatis LGV DNA detection by NAAT/genotyping,A55
A560,Chlamydia trachomatis DNA detection by NAAT,A560–A568
A561,Chlamydia trachomatis DNA detection by NAAT,A560–A568
A562,Chlamydia trachomatis DNA detection by NAAT,A560–A568
A563,Chlamydia trachomatis DNA detection by NAAT,A560–A568
A564,Chlamydia trachomatis DNA detection by NAAT,A560–A568
A568,Chlamydia trachomatis DNA detection by NAAT,A560–A568
A57,Haemophilus ducreyi culture,A57
A57,Haemophilus ducreyi DNA detection,A57
A58,Klebsiella granulomatis microscopy from lesion,A58
A58,Tissue biopsy histopathology,A58
A590,Trichomonas vaginalis NAAT,A590–A599
A590,Wet mount microscopy,A590–A599
A598,Trichomonas vaginalis NAAT,A590–A599
A598,Wet mount microscopy,A590–A599
A599,Trichomonas vaginalis NAAT,A590–A599
A599,Wet mount microscopy,A590–A599
A600,HSV-1/HSV-2 DNA detection from lesion,A600–A609
A600,HSV culture if available,A600–A609
A601,HSV-1/HSV-2 DNA detection from lesion,A600–A609
A601,HSV culture if available,A600–A609
A609,HSV-1/HSV-2 DNA detection from lesion,A600–A609
A609,HSV culture if available,A600–A609
A630,HPV DNA detection if indicated,A630
A630,Histopathology if lesion atypical,A630
A638,STI NAAT/serology according to suspected infection,A638–A64
A64,STI NAAT/serology according to suspected infection,A638–A64
A65,RPR/VDRL,A65
A65,TPHA/TPPA/FTA-ABS,A65
A660,Treponema pallidum / T. pallidum subspecies serology,A660–A669
A660,Lesion dark-field microscopy or DNA detection if available,A660–A669
A661,Treponema pallidum / T. pallidum subspecies serology,A660–A669
A661,Lesion dark-field microscopy or DNA detection if available,A660–A669
A662,Treponema pallidum / T. pallidum subspecies serology,A660–A669
A662,Lesion dark-field microscopy or DNA detection if available,A660–A669
A663,Treponema pallidum / T. pallidum subspecies serology,A660–A669
A663,Lesion dark-field microscopy or DNA detection if available,A660–A669
A664,Treponema pallidum / T. pallidum subspecies serology,A660–A669
A664,Lesion dark-field microscopy or DNA detection if available,A660–A669
A665,Treponema pallidum / T. pallidum subspecies serology,A660–A669
A665,Lesion dark-field microscopy or DNA detection if available,A660–A669
A666,Treponema pallidum / T. pallidum subspecies serology,A660–A669
A666,Lesion dark-field microscopy or DNA detection if available,A660–A669
A667,Treponema pallidum / T. pallidum subspecies serology,A660–A669
A667,Lesion dark-field microscopy or DNA detection if available,A660–A669
A668,Treponema pallidum / T. pallidum subspecies serology,A660–A669
A668,Lesion dark-field microscopy or DNA detection if available,A660–A669
A669,Treponema pallidum / T. pallidum subspecies serology,A660–A669
A669,Lesion dark-field microscopy or DNA detection if available,A660–A669
A670,Treponemal serology,A670–A679
A670,Lesion microscopy/DNA detection if available,A670–A679
A671,Treponemal serology,A670–A679
A671,Lesion microscopy/DNA detection if available,A670–A679
A672,Treponemal serology,A670–A679
A672,Lesion microscopy/DNA detection if available,A670–A679
A673,Treponemal serology,A670–A679
A673,Lesion microscopy/DNA detection if available,A670–A679
A679,Treponemal serology,A670–A679
A679,Lesion microscopy/DNA detection if available,A670–A679
A680,Blood smear during fever,A680–A689
A680,Borrelia DNA detection,A680–A689
A680,Borrelia serology if indicated,A680–A689
A681,Blood smear during fever,A680–A689
A681,Borrelia DNA detection,A680–A689
A681,Borrelia serology if indicated,A680–A689
A689,Blood smear during fever,A680–A689
A689,Borrelia DNA detection,A680–A689
A689,Borrelia serology if indicated,A680–A689
A690,Oral lesion Gram stain/culture,A690–A691
A690,Anaerobic culture if indicated,A690–A691
A691,Oral lesion Gram stain/culture,A690–A691
A691,Anaerobic culture if indicated,A690–A691
A692,Borrelia burgdorferi antibody,A692
A692,Two-tier Lyme serology,A692
A698,Spirochete serology/NAAT according to suspected organism,A698–A699
A699,Spirochete serology/NAAT according to suspected organism,A698–A699
A70,Chlamydia psittaci serology,A70
A70,Chlamydia psittaci DNA detection,A70
A710,Chlamydia trachomatis DNA detection from conjunctival swab,A710–A719
A711,Chlamydia trachomatis DNA detection from conjunctival swab,A710–A719
A719,Chlamydia trachomatis DNA detection from conjunctival swab,A710–A719
A740,Chlamydia trachomatis DNA detection from conjunctival swab,A740
A748,Chlamydia trachomatis DNA detection by NAAT,A748–A749
A749,Chlamydia trachomatis DNA detection by NAAT,A748–A749
A750,Rickettsial serology,A750–A759
A750,Rickettsial DNA detection,A750–A759
A751,Rickettsial serology,A750–A759
A751,Rickettsial DNA detection,A750–A759
A752,Rickettsial serology,A750–A759
A752,Rickettsial DNA detection,A750–A759
A753,Rickettsial serology,A750–A759
A753,Rickettsial DNA detection,A750–A759
A759,Rickettsial serology,A750–A759
A759,Rickettsial DNA detection,A750–A759
A770,Rickettsial serology,A770–A779
A770,Rickettsial DNA detection,A770–A779
A771,Rickettsial serology,A770–A779
A771,Rickettsial DNA detection,A770–A779
A772,Rickettsial serology,A770–A779
A772,Rickettsial DNA detection,A770–A779
A773,Rickettsial serology,A770–A779
A773,Rickettsial DNA detection,A770–A779
A778,Rickettsial serology,A770–A779
A778,Rickettsial DNA detection,A770–A779
A779,Rickettsial serology,A770–A779
A779,Rickettsial DNA detection,A770–A779
A78,Coxiella burnetii phase I/II antibody,A78
A78,Coxiella burnetii DNA detection,A78
A790,Rickettsial/Bartonella serology,A790–A799
A790,DNA detection according to suspected organism,A790–A799
A791,Rickettsial/Bartonella serology,A790–A799
A791,DNA detection according to suspected organism,A790–A799
A798,Rickettsial/Bartonella serology,A790–A799
A798,DNA detection according to suspected organism,A790–A799
A799,Rickettsial/Bartonella serology,A790–A799
A799,DNA detection according to suspected organism,A790–A799
A800,Poliovirus RNA detection,A800–A809
A800,Viral culture from stool/throat,A800–A809
A800,CSF analysis if indicated,A800–A809
A801,Poliovirus RNA detection,A800–A809
A801,Viral culture from stool/throat,A800–A809
A801,CSF analysis if indicated,A800–A809
A802,Poliovirus RNA detection,A800–A809
A802,Viral culture from stool/throat,A800–A809
A802,CSF analysis if indicated,A800–A809
A803,Poliovirus RNA detection,A800–A809
A803,Viral culture from stool/throat,A800–A809
A803,CSF analysis if indicated,A800–A809
A804,Poliovirus RNA detection,A800–A809
A804,Viral culture from stool/throat,A800–A809
A804,CSF analysis if indicated,A800–A809
A809,Poliovirus RNA detection,A800–A809
A809,Viral culture from stool/throat,A800–A809
A809,CSF analysis if indicated,A800–A809
A810,CSF RT-QuIC,A810
A810,CSF 14-3-3 protein,A810
A810,CSF total tau,A810
A811,Measles antibody in CSF/serum,A811
A811,Measles virus RNA detection,A811
A812,JC virus DNA detection in CSF,A812
A818,CSF viral DNA/RNA detection according to suspected virus,A818–A819
A819,CSF viral DNA/RNA detection according to suspected virus,A818–A819
A820,Rabies virus RNA detection,A820–A829
A820,Rabies antigen detection,A820–A829
A820,Rabies neutralizing antibody,A820–A829
A821,Rabies virus RNA detection,A820–A829
A821,Rabies antigen detection,A820–A829
A821,Rabies neutralizing antibody,A820–A829
A829,Rabies virus RNA detection,A820–A829
A829,Rabies antigen detection,A820–A829
A829,Rabies neutralizing antibody,A820–A829
A830,CSF arbovirus IgM antibody,A830–A839
A830,Arbovirus RNA detection according to suspected virus,A830–A839
A831,CSF arbovirus IgM antibody,A830–A839
A831,Arbovirus RNA detection according to suspected virus,A830–A839
A832,CSF arbovirus IgM antibody,A830–A839
A832,Arbovirus RNA detection according to suspected virus,A830–A839
A833,CSF arbovirus IgM antibody,A830–A839
A833,Arbovirus RNA detection according to suspected virus,A830–A839
A834,CSF arbovirus IgM antibody,A830–A839
A834,Arbovirus RNA detection according to suspected virus,A830–A839
A835,CSF arbovirus IgM antibody,A830–A839
A835,Arbovirus RNA detection according to suspected virus,A830–A839
A836,CSF arbovirus IgM antibody,A830–A839
A836,Arbovirus RNA detection according to suspected virus,A830–A839
A838,CSF arbovirus IgM antibody,A830–A839
A838,Arbovirus RNA detection according to suspected virus,A830–A839
A839,CSF arbovirus IgM antibody,A830–A839
A839,Arbovirus RNA detection according to suspected virus,A830–A839
A840,Tick-borne encephalitis virus IgM antibody,A840–A849
A840,Tick-borne encephalitis virus RNA detection,A840–A849
A841,Tick-borne encephalitis virus IgM antibody,A840–A849
